iter	Passed	Remaining
469	694	782
470	695	780
471	696	779
472	697	777
473	698	774
474	699	772
475	700	770
476	701	768
477	702	766
478	703	764
479	704	763
480	706	761
481	708	761
482	710	760
483	711	759
484	713	757
485	714	755
486	715	753
487	716	751
488	717	750
489	718	748
490	720	746
491	721	744
492	722	743
493	723	741
494	724	738
495	725	736
496	726	734
497	727	732
498	728	730
499	728	728
500	729	726
501	730	724
502	731	723
503	732	721
504	733	719
505	735	718
506	737	716
507	738	715
508	739	713
509	741	711
510	741	709
511	742	707
512	743	706
513	744	704
514	745	702
515	746	700
516	747	698
517	749	697
518	752	697
519	753	695
520	754	693
521	755	691
522	756	690
523	757	688
524	758	686
525	759	684
526	760	682
527	761	680
528	763	679
529	766	679
530	767	678
531	769	676
532	770	675
533	772	673
534	773	672
535	774	670
536	775	668
537	776	666
538	777	664
539	778	663
540	780	662
541	781	660
542	782	658
543	783	657
544	784	655
545	785	653
546	787	651
547	788	650
548	789	648
549	791	647
550	792	645
551	794	644
552	795	643
553	796	641
554	797	639
555	798	637
556	799	636
557	800	634
558	801	632
559	802	630
560	803	628
561	805	627
562	806	625
563	807	624
564	809	622
565	810	621
566	811	619
567	812	617
568	813	616
569	814	614
570	815	612
571	816	610
572	817	609
573	818	607
574	819	605
575	819	603
576	822	602
577	823	601
578	824	599
579	825	597
580	826	596
581	827	594
582	828	592
583	829	591
584	830	589
585	831	587
586	832	585
587	833	583
588	834	582
589	836	581
590	838	580
591	839	578
592	839	576
593	840	574
594	841	572
595	842	571
596	843	569
597	844	567
598	845	565
599	846	564
600	847	562
601	848	560
602	848	558
603	850	557
604	851	556
605	852	554
606	853	552
607	854	551
608	855	549
609	856	547
610	857	545
611	858	544
612	859	542
613	860	540
614	861	539
615	862	537
616	863	535
617	864	534
618	866	533
619	867	531
620	868	529
621	869	528
622	870	526
623	871	525
624	872	523
625	873	521
626	874	520
627	875	518
628	876	516
629	877	515
630	878	513
631	880	512
632	881	511
633	882	509
634	883	507
635	884	506
636	886	504
637	887	503
638	888	501
639	889	500
640	890	498
641	891	497
642	892	495
643	893	493
644	894	492
645	895	490
646	896	489
647	897	487
648	898	486
649	899	484
650	900	483
651	902	481
652	903	479
653	904	478
654	905	476
655	906	475
656	908	474
657	909	472
658	910	471
659	911	469
660	912	467
661	913	466
662	914	464
663	915	463
664	916	461
665	918	460
666	918	458
667	920	457
668	921	455
669	922	454
670	924	453
671	925	451
672	926	450
673	927	448
674	928	447
675	929	445
676	930	444
677	931	442
678	932	440
679	933	439
680	934	437
681	935	436
682	936	434
683	938	433
684	940	432
685	941	430
686	942	429
687	943	427
688	944	426
689	945	424
690	946	423
691	947	421
692	948	420
693	949	418
694	950	417
695	951	415
696	953	414
697	954	413
698	955	411
699	956	410
700	957	408
701	959	407
702	960	405
703	960	404
704	961	402
705	962	401
706	963	399
707	964	397
708	965	396
709	968	395
710	969	394
711	970	392
712	971	391
713	972	389
714	973	388
715	974	386
716	975	385
717	976	383
718	977	382
719	978	380
720	979	379
721	981	377
722	982	376
723	983	375
724	984	373
725	985	371
726	986	370
727	987	369
728	988	367
729	989	366
730	990	364
731	992	363
732	993	361
733	994	360
734	996	359
735	997	357
736	998	356
737	999	354
738	1001	353
739	1002	352
740	1003	350
741	1004	349
742	1005	347
743	1006	346
744	1007	344
745	1008	343
746	1009	341
747	1010	340
748	1012	339
749	1013	337
750	1014	336
751	1015	334
752	1016	333
753	1017	331
754	1018	330
755	1019	329
756	1020	327
757	1021	326
758	1022	324
759	1023	323
760	1026	322
761	1027	320
762	1028	319
763	1029	318
764	1030	316
765	1031	315
766	1032	313
767	1033	312
768	1034	310
769	1035	309
770	1036	307
771	1037	306
772	1038	305
773	1040	303
774	1041	302
775	1042	300
776	1043	299
777	1044	297
778	1045	296
779	1046	295
780	1047	293
781	1048	292
782	1049	290
783	1050	289
784	1051	288
785	1052	286
786	1054	285
787	1055	283
788	1056	282
789	1057	281
790	1058	279
791	1059	278
792	1060	276
793	1061	275
794	1062	274
795	1063	272
796	1065	271
797	1065	269
798	1066	268
799	1067	266
800	1069	265
801	1070	264
802	1071	262
803	1072	261
804	1073	260
805	1074	258
806	1076	257
807	1076	255
808	1077	254
809	1078	253
810	1079	251
811	1080	250
812	1081	248
813	1082	247
814	1084	246
815	1085	244
816	1086	243
817	1087	241
818	1088	240
819	1089	239
820	1090	237
821	1091	236
822	1092	234
823	1093	233
824	1094	232
825	1095	230
826	1096	229
827	1097	228
828	1099	226
829	1100	225
830	1101	224
831	1102	222
832	1103	221
833	1104	219
834	1105	218
835	1106	217
836	1107	215
837	1108	214
838	1109	212
839	1110	211
840	1111	210
841	1112	208
842	1114	207
843	1115	206
844	1116	204
845	1117	203
846	1118	201
847	1119	200
848	1120	199
849	1121	197
850	1122	196
851	1123	195
852	1124	193
853	1125	192
854	1126	191
855	1128	189
856	1129	188
857	1130	187
858	1131	185
859	1131	184
860	1132	182
861	1133	181
862	1134	180
863	1135	178
864	1136	177
865	1137	176
866	1138	174
867	1139	173
868	1140	171
869	1142	170
870	1143	169
871	1144	167
872	1145	166
873	1146	165
874	1147	163
875	1148	162
876	1149	161
877	1150	159
878	1151	158
879	1152	157
880	1153	155
881	1154	154
882	1155	153
883	1156	151
884	1157	150
885	1158	149
886	1160	147
887	1160	146
888	1162	145
889	1163	143
890	1164	142
891	1165	141
892	1166	139
893	1167	138
894	1168	137
895	1169	135
896	1170	134
897	1171	133
898	1172	131
899	1173	130
900	1174	129
901	1175	127
902	1176	126
903	1177	125
904	1178	123
905	1179	122
906	1180	121
907	1181	119
908	1182	118
909	1184	117
910	1185	115
911	1186	114
912	1187	113
913	1188	111
914	1189	110
915	1190	109
916	1191	107
917	1192	106
918	1193	105
919	1194	103
920	1195	102
921	1196	101
922	1197	99
923	1198	98
924	1199	97
925	1200	95
926	1202	94
927	1203	93
928	1204	92
929	1204	90
930	1205	89
931	1206	88
932	1207	86
933	1209	85
934	1210	84
935	1211	82
936	1212	81
937	1213	80
938	1214	78
939	1215	77
940	1216	76
941	1217	74
942	1219	73
943	1220	72
944	1221	71
945	1222	69
946	1223	68
947	1224	67
948	1225	65
949	1226	64
950	1227	63
951	1228	61
952	1229	60
953	1230	59
954	1231	58
955	1232	56
956	1233	55
957	1234	54
958	1235	52
959	1236	51
960	1237	50
961	1238	48
962	1239	47
